iter	Passed	Remaining
0	157	157541
1	163	81714
2	168	55933
3	171	42601
4	173	34455
5	175	29000
6	176	25084
7	178	22139
8	180	19845
9	181	18000
10	183	16490
11	184	15227
12	186	14140
13	189	13366
14	190	12522
15	191	11771
16	192	11114
17	193	10546
18	194	10030
19	195	9572
20	196	9148
21	197	8760
22	197	8410
23	198	8084
24	199	7782
25	200	7505
26	201	7248
27	201	7008
28	202	6787
29	203	6578
30	204	6385
31	204	6201
32	205	6031
33	206	5870
34	207	5716
35	208	5571
36	208	5431
37	209	5298
38	210	5175
39	211	5067
40	212	4963
41	212	4858
42	213	4758
43	214	4660
44	215	4568
45	215	4478
46	216	4392
47	217	4312
48	218	4237
49	219	4164
50	220	4094
51	220	4025
52	221	3958
53	222	3897
54	223	3833
55	223	3773
56	224	3718
57	225	3667
58	226	3616
59	227	3566
60	228	3514
61	228	3463
62	229	3414
63	230	3368
64	230	3322
65	231	3277
66	232	3233
67	232	3191
68	233	3149
69	234	3109
70	234	3069
71	235	3031
72	235	2993
73	236	2959
74	237	2924
75	237	2889
76	238	2856
77	238	2823
78	239	2795
79	240	2767
80	241	2737
81	241	2708
82	242	2676
83	242	2647
84	243	2620
85	243	2593
86	244	2566
87	245	2542
88	245	2517
89	246	2492
90	247	2468
91	247	2444
92	248	2422
93	248	2399
94	249	2377
95	250	2356
96	250	2334
97	251	2313
98	251	2292
99	252	2272
100	253	2253
101	253	2234
102	256	2230
103	257	2220
104	259	2209
105	259	2191
106	260	2174
107	261	2156
108	261	2139
109	262	2122
110	262	2106
111	263	2091
112	264	2075
113	265	2060
114	265	2044
115	266	2029
116	266	2014
117	267	1999
118	268	1984
119	268	1971
120	269	1960
121	270	1947
122	271	1934
123	272	1921
124	272	1909
125	273	1897
126	274	1884
127	274	1871
128	275	1859
129	275	1846
130	276	1833
131	277	1821
132	277	1809
133	278	1797
134	278	1785
135	279	1774
136	279	1763
137	280	1752
138	281	1742
139	282	1733
140	282	1723
141	283	1711
142	283	1701
143	284	1694
144	285	1684
145	286	1674
146	286	1664
147	287	1655
148	288	1645
149	288	1635
150	289	1626
151	289	1616
152	290	1608
153	291	1600
154	291	1591
155	292	1582
156	293	1573
157	293	1565
158	294	1556
159	294	1548
160	295	1539
161	296	1532
162	296	1523
163	297	1515
164	297	1508
165	298	1500
166	299	1493
167	300	1489
168	301	1482
169	302	1474
170	302	1466
171	303	1459
172	303	1451
173	304	1444
174	304	1437
175	305	1429
176	305	1422
177	306	1415
178	307	1408
179	307	1402
180	308	1396
181	309	1389
182	309	1383
183	310	1376
184	311	1370
185	311	1363
186	312	1357
187	312	1351
188	313	1345
189	314	1340
190	314	1334
191	315	1328
192	316	1322
193	317	1317
194	317	1311
195	318	1305
196	318	1299
197	319	1293
198	319	1287
199	320	1281
200	321	1276
201	321	1270
202	322	1265
203	322	1259
204	323	1254
205	324	1249
206	324	1243
207	325	1238
208	325	1233
209	326	1228
210	327	1224
211	327	1219
212	328	1214
213	329	1210
214	330	1206
215	331	1201
216	331	1197
217	332	1192
218	333	1187
219	333	1183
220	334	1178
221	335	1174
222	335	1169
223	336	1164
224	336	1160
225	337	1155
226	338	1151
227	338	1146
228	339	1141
229	339	1137
230	340	1132
231	340	1128
232	341	1123
233	342	1119
234	342	1115
235	343	1111
236	344	1108
237	345	1105
238	345	1101
